,id_str,screen_name,user_name,date,time,in_reply_to_status_id_str,text,retweet_count,favorite_count,url,senti_score_pos,senti_score_neu,senti_score_neg,senti_score_com
0,1063584634821378049,FordsGin,Fords Gin,2018-11-17,00:08:32,Brand Tweet,"Creating a gin specifically designed for cocktails is only one part of the Fords Gin mission, which aims to support the bartenders redefining the future of hospitality—Let’s shine a light on these game-changers. First up, the remarkable Ashtin Berry! https://t.co/owHgzr86UH",0,4,https://twitter.com/FordsGin/status/1063584634821378049,0.1025,0.8975,0.0,0.41565
1,1053758807552200710,FordsGin,Fords Gin,2018-10-20,21:24:12,Brand Tweet,RT @SimonJFord: The story behind one of the best G&amp;T’s you will find in New York  https://t.co/jyff3Jj8Sc,0,0,https://twitter.com/FordsGin/status/1053758807552200710,0.219,0.781,0.0,0.6369
2,1038217363559047169,FordsGin,Fords Gin,2018-9-08,00:08:03,Brand Tweet,"Huge news!!!
Fords Gin Officers’ Reserve has been featured in the September/October issue of @imbibe!!! 😲 
With the release of Fords Gin Officers Reserve so near, we are thrilled to get love from such a legendary publication.
We can’t wait to share the delicious gin inside!",3,19,https://twitter.com/FordsGin/status/1038217363559047169,0.36933333333333335,0.6306666666666666,0.0,0.47093333333333337
3,1025508249296982016,FordsGin,Fords Gin,2018-8-03,22:26:34,Brand Tweet,"Spotted in the wild at the Fords Gin Botanical Garden last week at the @the1rooftop. 
No garden gnomes, but perhaps an elephant with impeccable taste in gin. 📷 @thelouiscollection 
_________
#fordsgin #thecocktailgin #londondrygin #ninebotanicals #madeformixing https://t.co/aXA6NXuunz",0,2,https://twitter.com/FordsGin/status/1025508249296982016,0.0,0.944,0.056,-0.1531
4,1024064250602389504,FordsGin,Fords Gin,2018-7-30,22:48:38,Brand Tweet,"Who’s Afraid of a Gin Martini?
3 parts Fords Gin
1 part Dry Vermouth
Lemon twist
#fordsgin #thecocktailgin #madeformixing #madeformartinis #ninebotanicals #dryginmartini #londondrygin https://t.co/uoNFuohe9Y",0,5,https://twitter.com/FordsGin/status/1024064250602389504,0.0,1.0,0.0,0.0
5,1022541958516957185,FordsGin,Fords Gin,2018-7-26,17:59:35,Brand Tweet,"Working on our bottle tag for Officer’s Reserve, our first #agedgin experiment! ⚓️ What do you think?

If everything goes according to plan, Officer’s Reserve will be released in September! 

#officersreserve #journeysingin #navystrengthgin #fordsgin #thecocktailgin https://t.co/0nxC0WM2L2",2,7,https://twitter.com/FordsGin/status/1022541958516957185,0.0,1.0,0.0,0.0
6,1022321644486840321,FordsGin,Fords Gin,2018-7-26,03:24:08,Brand Tweet,"Check us out on the list of the 30 best bottles of booze for under $30! Thanks @InsideHook!!! 

https://t.co/zxwpGlaDWM",0,3,https://twitter.com/FordsGin/status/1022321644486840321,0.3403333333333334,0.6596666666666667,0.0,0.4174
7,1019400350325882881,FordsGin,Fords Gin,2018-7-18,01:55:57,Brand Tweet,"Introducing Fords Gin Officer’s Reserve, our first aged gin experiment! These are sample labels and the final will be slightly different, but we wanted to share our progress with you!

Hopefully a September release! 🤞🏻We can’t wait to share the beautiful gin inside with you! https://t.co/EHvUkHQKkw",0,5,https://twitter.com/FordsGin/status/1019400350325882881,0.2576,0.7424,0.0,0.39702
8,1017490942884917248,FordsGin,Fords Gin,2018-7-12,19:28:39,Brand Tweet,"Featured in Forbes Travel Guide: Tips from Simon Ford on some of the best drinking destinations in London. 

Huge thank you to @wellfedlife for the wonderful article!

https://t.co/BadWza2MFm",0,1,https://twitter.com/FordsGin/status/1017490942884917248,0.191,0.8089999999999999,0.0,0.4592
9,1012468626232786944,FordsGin,Fords Gin,2018-6-28,22:51:45,Brand Tweet,"A great read on some of the best Martini spots around the globe.

https://t.co/DRJ3z0I0kH",1,7,https://twitter.com/FordsGin/status/1012468626232786944,0.454,0.546,0.0,0.8519
10,943152934023557120,FordsGin,Fords Gin,2017-12-19,16:15:57,Brand Tweet,Check out this great article on Fords Gin Festive Cocktail Challenge! https://t.co/9HCbLAWW1p,0,5,https://twitter.com/FordsGin/status/943152934023557120,0.271,0.729,0.0,0.42895
11,925427640256880640,FordsGin,Fords Gin,2017-10-31,18:21:57,Brand Tweet,Wine Mag has done a great article on the history and production of Fords Gin:      https://t.co/e2q6nC3gr3,1,4,https://twitter.com/FordsGin/status/925427640256880640,0.227,0.773,0.0,0.6249
12,921124780673257472,FordsGin,Fords Gin,2017-10-19,21:23:56,Brand Tweet,"RT @YoungsMarket_Co: It's National #GinandTonicDay! Celebrate with @HendricksGin, @thebotanistgin, @FordsGin, @MalfyGin, @deathsdoor, or @S…",0,0,https://twitter.com/FordsGin/status/921124780673257472,0.3245,0.6755,0.0,0.28595
13,917793188059811840,FordsGin,Fords Gin,2017-10-10,16:45:22,Brand Tweet,"RT @ThePerfectSpot: Try a Tough &amp; Dirty Martini @Fordsgin, basil, olive oil, @SeedlipDrinks, @NoillyPrat at new @MockingbirdOak #Oakland ht…",0,0,https://twitter.com/FordsGin/status/917793188059811840,0.0,0.694,0.306,-0.5267
14,909195247556501504,FordsGin,Fords Gin,2017-9-16,23:20:13,Brand Tweet,"RT @neatbarla: our my dear mortimer, with @FordsGin, @MezcalSilencio, creme de violette, &amp; lillet blanc is the perfect way to indulge, both…",0,0,https://twitter.com/FordsGin/status/909195247556501504,0.27,0.73,0.0,0.743
15,907959956317466625,FordsGin,Fords Gin,2017-9-13,13:31:37,Brand Tweet,RT @SovereignCanada: Treat yo self to a Monday Martini from @FordsGin @Maidenii vermouth &amp; @ScrappysBitters https://t.co/NcNjItp8fS,0,0,https://twitter.com/FordsGin/status/907959956317466625,0.213,0.787,0.0,0.4019
16,906541928837087232,FordsGin,Fords Gin,2017-9-09,15:36:53,Brand Tweet,"RT @gintonicbrasil: Fords Gin from The 86 Co reviewed by Gin Foundry @GinFoundry @FordsGin 
#gin #gintonicbrasil #gintonic #ginlovers 
http…",0,0,https://twitter.com/FordsGin/status/906541928837087232,0.0,0.809,0.191,-0.3818
17,902425628007428097,FordsGin,Fords Gin,2017-8-29,07:00:10,Brand Tweet,RT @SimonJFord: We're aging @FordsGin in Amontillado Sherry Casks for an ovenproof gin. The test barrels tasted great so we are filing 25 m…,0,0,https://twitter.com/FordsGin/status/902425628007428097,0.17,0.83,0.0,0.6249
18,900022095328854016,FordsGin,Fords Gin,2017-8-22,15:49:23,Brand Tweet,RT @CASKforit: Tomorrow head down to @disreputebar for the @FordsGin takeover with ambassador Nick Caputo. #TuesdayBoozeday https://t.co/cj…,0,0,https://twitter.com/FordsGin/status/900022095328854016,0.0,1.0,0.0,0.0
19,899407117114683393,FordsGin,Fords Gin,2017-8-20,23:05:41,899316584724013057,@WorldClass @barmagazine Good luck to you all...,0,3,https://twitter.com/FordsGin/status/899407117114683393,0.747,0.253,0.0,0.7096
20,898017064241184770,FordsGin,Fords Gin,2017-8-17,03:02:07,Brand Tweet,RT @SimonJFord: PUNCH | Can the Martini-on-the-Rocks Make a Comeback? https://t.co/WXATnguZ7f,0,0,https://twitter.com/FordsGin/status/898017064241184770,0.0,1.0,0.0,0.0
21,897562062909456384,FordsGin,Fords Gin,2017-8-15,20:54:06,Brand Tweet,The #TrashTiki #Antiwastetour dates - Next stops are Toronto and Detroit #fordsgin https://t.co/ROEZlM0UGV,0,3,https://twitter.com/FordsGin/status/897562062909456384,0.0,0.833,0.167,-0.1531
22,897514804750893056,FordsGin,Fords Gin,2017-8-15,17:46:19,Brand Tweet,RT @Junipalooza: It's true!! @Junipalooza Melbourne Oct 2017 tickets are now up for grabs!! Early bird tickets sold out... https://t.co/qMe…,0,0,https://twitter.com/FordsGin/status/897514804750893056,0.20966666666666667,0.7903333333333333,0.0,0.17473333333333332
23,897344890702450688,FordsGin,Fords Gin,2017-8-15,06:31:08,Brand Tweet,RT @GinKiosk: Fords Gin @fordsgin is the ultimate barkeeps multitool and a big juniper gin. Great for all cocktails! https://t.co/FOIDWcfOT…,0,0,https://twitter.com/FordsGin/status/897344890702450688,0.1195,0.8805000000000001,0.0,0.3294
24,897344782682292225,FordsGin,Fords Gin,2017-8-15,06:30:42,Brand Tweet,RT @SimonJFord: @RoadSodaBar @FordsGin &amp; @The86Co making drinks for the #schoolofhustle in #DTLA https://t.co/jjzJQ6EPRi,0,0,https://twitter.com/FordsGin/status/897344782682292225,0.0,1.0,0.0,0.0
25,896846839479025665,FordsGin,Fords Gin,2017-8-13,21:32:03,Brand Tweet,RT @SimonJFord: #Trashtiki is happening tonight and tomorrow at @MissionChinese in New York - @FordsGin reduced waste cocktails being serve…,0,0,https://twitter.com/FordsGin/status/896846839479025665,0.0,0.833,0.167,-0.4215
26,896409049335451648,FordsGin,Fords Gin,2017-8-12,16:32:26,Brand Tweet,RT @ChatChowTV: Rosemary @FordsGin &amp; Tonic at the #HappiestOfHours at @Upland_MIA w/ @Anders_Sandberg &amp; other cool kids like @Virg… https:/…,0,0,https://twitter.com/FordsGin/status/896409049335451648,0.286,0.714,0.0,0.5859
27,895093072052277248,FordsGin,Fords Gin,2017-8-09,01:23:13,Brand Tweet,Head over heels for our new #fordsgin socks https://t.co/gHVKDU980w,0,11,https://twitter.com/FordsGin/status/895093072052277248,0.0,1.0,0.0,0.0
28,895086230353788930,FordsGin,Fords Gin,2017-8-09,00:56:01,Brand Tweet,RT @SimonJFord: I did this interview in Malaysia with @askmen last November and completely forgot about it https://t.co/GiBkUEf2Gm @FordsGi…,0,0,https://twitter.com/FordsGin/status/895086230353788930,0.0,1.0,0.0,0.0
29,849694587207770113,FordsGin,Fords Gin,2017-4-05,18:45:50,Brand Tweet,Fords Gin has received a score of 91 POINTS from Ultimate Spirits Challenge!!!! https://t.co/TEC19Jsz8a,0,7,https://twitter.com/FordsGin/status/849694587207770113,0.0,1.0,0.0,0.0
30,846764210524737536,FordsGin,Fords Gin,2017-3-28,16:41:34,Brand Tweet,This weekend! @Cocktailsinthec  @OpiumChinatown and Fords Gin will be teaming up for Cocktails in the City. info at: https://t.co/UhwSJHvVai https://t.co/9Cx62h62Ab,3,8,https://twitter.com/FordsGin/status/846764210524737536,0.0,1.0,0.0,0.0
31,827590479453761536,FordsGin,Fords Gin,2017-2-03,18:52:00,Brand Tweet,"H.L. Mencken called the Martini “the only American invention as perfect as the sonnet”, and we agree. https://t.co/5v0PLatWru",0,6,https://twitter.com/FordsGin/status/827590479453761536,0.198,0.802,0.0,0.5719
32,821941723756720128,FordsGin,Fords Gin,2017-1-19,04:45:52,Brand Tweet,"Fords voted #4 in top trending gin brands, and #7 in best selling gin!! Link to full report: https://t.co/PMDnytHQ0N https://t.co/bfAoVleJYi",3,5,https://twitter.com/FordsGin/status/821941723756720128,0.1985,0.8015,0.0,0.38195
33,816350342153699329,FordsGin,Fords Gin,2017-1-03,18:27:43,Brand Tweet,"Fords Triple Citrus Gin and Tonic 

#fordsgin #thecocktailgin #the86co #bybartendersforbartenders #ginandtonic https://t.co/hZeRaFSgbD",1,4,https://twitter.com/FordsGin/status/816350342153699329,0.0,1.0,0.0,0.0
34,812700924728770561,FordsGin,Fords Gin,2016-12-24,16:46:14,Brand Tweet,"Fords Gin Spiced Apple Warmer with Fords Gin, Lemon and Lime, Apple Cider, Cinnamon and Ginger. https://t.co/B8ojedizYm",0,4,https://twitter.com/FordsGin/status/812700924728770561,0.128,0.872,0.0,0.296
35,811304989964566528,FordsGin,Fords Gin,2016-12-20,20:19:17,Brand Tweet,"Fords Gin is a mix of nine botanicals, starting with a traditional backbone base of juniper and coriander seed. https://t.co/JrtctD8ypk",2,4,https://twitter.com/FordsGin/status/811304989964566528,0.0,1.0,0.0,0.0
36,783437254513524736,FordsGin,Fords Gin,2016-10-04,22:42:51,Brand Tweet,"RT @dhmeyer: Hard to believe Setting the Table was published 10 years ago today. Much has changed, but hospitality lessons endure. https://…",0,0,https://twitter.com/FordsGin/status/783437254513524736,0.0,0.938,0.062,-0.0516
37,783436488377765888,FordsGin,Fords Gin,2016-10-04,22:39:49,Brand Tweet,"RT @MaxChater: Being treated

@citysocial_t42 being treated to a fantastic lunch by @fordsgin. Brilliant … https://t.co/JKCtAW1Wgb https://…",0,0,https://twitter.com/FordsGin/status/783436488377765888,0.425,0.575,0.0,0.8126
38,783436480941289472,FordsGin,Fords Gin,2016-10-04,22:39:47,Brand Tweet,"RT @cocktaillovers: Three Martini @fordsgin lunch, paired with oysters @citysocial_t42  #tcl #martinis #lcw16 https://t.co/pzmAedcIoH",0,0,https://twitter.com/FordsGin/status/783436480941289472,0.0,1.0,0.0,0.0
39,783436381314027520,FordsGin,Fords Gin,2016-10-04,22:39:23,Brand Tweet,RT @SovereignCanada: If you're attending @DrinkUpLDN don't forget to check out the @bartendatlarge screening at @RichMixLondon hosted by @F…,0,0,https://twitter.com/FordsGin/status/783436381314027520,0.114,0.886,0.0,0.1695
40,780504441036255232,FordsGin,Fords Gin,2016-9-26,20:28:54,Brand Tweet,RT @totc: How Humility and Dedication Led Kenta Goto to Bartending Greatness https://t.co/QIEUqKntum https://t.co/vRjptHvwPY,0,0,https://twitter.com/FordsGin/status/780504441036255232,0.0,1.0,0.0,0.0
41,780504374015504384,FordsGin,Fords Gin,2016-9-26,20:28:38,Brand Tweet,"RT @LoveTequila: Bijou # 2 on the list at wildhawk_sf with @fordsgin , Amontillado #sherry , Green Chartreuse &amp;… https://t.co/zK0mwRgZQQ",0,0,https://twitter.com/FordsGin/status/780504374015504384,0.0,1.0,0.0,0.0
42,780504346064621568,FordsGin,Fords Gin,2016-9-26,20:28:31,Brand Tweet,RT @SimonJFord: The @FordsGin #Gin Flavor Map in @foodrepublic - talking about the inspiration of @The86Co spirits #gin #cocktails  https:/…,0,0,https://twitter.com/FordsGin/status/780504346064621568,0.236,0.764,0.0,0.5267
43,780504317706940416,FordsGin,Fords Gin,2016-9-26,20:28:25,Brand Tweet,"RT @ThreeSixSixLDN: From our new #Sour menu: Coconut fat-washed @FordsGin, chipotle syrup, lime juice, coconut, rosemary. #threesixsix http…",0,0,https://twitter.com/FordsGin/status/780504317706940416,0.0,1.0,0.0,0.0
44,780504173469065216,FordsGin,Fords Gin,2016-9-26,20:27:50,Brand Tweet,RT @DrinkUpLDN: Don't miss out on this @FordsGin dinner at #LCW16. Best way to start the week! https://t.co/AbGJKkxTlD https://t.co/kAoo6xO…,0,0,https://twitter.com/FordsGin/status/780504173469065216,0.1655,0.8345,0.0,0.3564
45,780504156482043904,FordsGin,Fords Gin,2016-9-26,20:27:46,Brand Tweet,RT @CASKforit: Happy #familyday - time to tuck into this boozy little family. @The86Co @TequilaCabeza @CanaBravaRum86 @FordsGin @AylesburyD…,0,0,https://twitter.com/FordsGin/status/780504156482043904,0.316,0.684,0.0,0.5719
46,760212587153805312,FordsGin,Fords Gin,2016-8-01,20:36:19,Brand Tweet,@FordsGin #Gin Masterclass this Wednesday. @Drinkboston #gineducation #cocktailnerds https://t.co/H7pvMRgSSa,0,2,https://twitter.com/FordsGin/status/760212587153805312,0.0,1.0,0.0,0.0
47,759968364525608960,FordsGin,Fords Gin,2016-8-01,04:25:52,Brand Tweet,RT @SimonJFord: @FordsGin from @The86Co reviewed by Gin Foundry.it's a rgood read for anyone looking for the story behind #FordsGin  https:…,0,0,https://twitter.com/FordsGin/status/759968364525608960,0.0,1.0,0.0,0.0
48,759968036501585920,FordsGin,Fords Gin,2016-8-01,04:24:34,Brand Tweet,RT @BevForce_: Snack time with @FordsGin #totc2016 #nola #martini #gin #bevforce oysters &amp; gin for the win https://t.co/PH2Eq0dcOx,0,0,https://twitter.com/FordsGin/status/759968036501585920,0.275,0.725,0.0,0.5859
49,759967926111711233,FordsGin,Fords Gin,2016-8-01,04:24:07,Brand Tweet,"RT @karanewman: @fordsgin martinis, 3 ways. Not pictured: oyster pairings. #gin #martini #oysters #seaworthy… https://t.co/4XBxLpLV5q",0,0,https://twitter.com/FordsGin/status/759967926111711233,0.0,1.0,0.0,0.0
50,759967838467526656,FordsGin,Fords Gin,2016-8-01,04:23:46,Brand Tweet,RT @FoodDrinkLove: @FordsGin + beautiful oysters from @acehotel #nola #TOTC2016 https://t.co/Pl4w9xlMu5,0,0,https://twitter.com/FordsGin/status/759967838467526656,0.494,0.506,0.0,0.5994
51,759967812064378880,FordsGin,Fords Gin,2016-8-01,04:23:40,Brand Tweet,RT @totc: .@FordsGin is happy to present the #SpiritedAward for Best Cocktail and Spirits Publication to @cocktaillovers! #totc2016,0,0,https://twitter.com/FordsGin/status/759967812064378880,0.427,0.573,0.0,0.8478
52,759967680564649984,FordsGin,Fords Gin,2016-8-01,04:23:09,Brand Tweet,RT @CASKforit: Martinis at @PollenStSocial with @FordsGin and @AylesburyDuck86 anyone?! #SaturdayVibes https://t.co/hO17GEEcSd,0,0,https://twitter.com/FordsGin/status/759967680564649984,0.0,1.0,0.0,0.0
53,759967641058410496,FordsGin,Fords Gin,2016-8-01,04:22:59,Brand Tweet,RT @TheGinQueenAU: The gorgeous @fordsgin #martini #trolley at their Martinis and #oysters pop-up during @totc.… https://t.co/Bexp6S6fRe,0,0,https://twitter.com/FordsGin/status/759967641058410496,0.308,0.692,0.0,0.6124
54,752240377768255488,FordsGin,Fords Gin,2016-7-10,20:37:36,Brand Tweet,RT @Sean_BevX: The delicious @FordsGin is our Beverage of the Week. https://t.co/fX37YLWED2 https://t.co/n1xWmjyRSB,0,0,https://twitter.com/FordsGin/status/752240377768255488,0.291,0.709,0.0,0.5719
55,752240322332094464,FordsGin,Fords Gin,2016-7-10,20:37:23,Brand Tweet,RT @TerritoryOKC: Ready to try The Territory cocktail feat. at our @21cOKC summer issue launch party? Recipe: https://t.co/6uKLBkUuy2 https…,0,0,https://twitter.com/FordsGin/status/752240322332094464,0.1605,0.8395,0.0,0.31845
56,752240241977675777,FordsGin,Fords Gin,2016-7-10,20:37:04,Brand Tweet,"RT @DrinkCSX: .@FordsGin has quality, nostalgia &amp; a great bottle, says @warrenbobrow1: https://t.co/1CfM5HbwQb https://t.co/VYk4GwrqE5",0,0,https://twitter.com/FordsGin/status/752240241977675777,0.313,0.687,0.0,0.6249
57,742357302913552385,FordsGin,Fords Gin,2016-6-13,14:05:48,Brand Tweet,"RT @DrinkCSX: .@FordsGin has quality, nostalgia &amp; a great bottle, says @warrenbobrow1: https://t.co/1CfM5HbwQb https://t.co/HTlHYQLQCY",0,0,https://twitter.com/FordsGin/status/742357302913552385,0.313,0.687,0.0,0.6249
58,742357246516961280,FordsGin,Fords Gin,2016-6-13,14:05:34,Brand Tweet,RT @fairchildonfood: So cool to find @FordsGin @sottoLA last night. A Martini before Italian food? Hey--it works!,0,0,https://twitter.com/FordsGin/status/742357246516961280,0.112,0.888,0.0,0.1902
59,742356924163727360,FordsGin,Fords Gin,2016-6-13,14:04:17,Brand Tweet,RT @How2Drink: Is it still #NegroniWeek ?  Ford's+Antica+Campari #NationalGinDay @FordsGin https://t.co/49wuwWZiPo,0,0,https://twitter.com/FordsGin/status/742356924163727360,0.0,1.0,0.0,0.0
60,736133963647877125,FordsGin,Fords Gin,2016-5-27,09:56:28,Brand Tweet,RT @SovereignCanada: Check out @shaunlayton's homage to @SimonJFord @The86Co with @FordsGin Simon's G &amp; T at @eatatjuniper 🍋🍸🍸 https://t.co…,0,0,https://twitter.com/FordsGin/status/736133963647877125,0.0,1.0,0.0,0.0
61,735292508163313664,FordsGin,Fords Gin,2016-5-25,02:12:49,Brand Tweet,"RT @TheGinBible: Friday @FordsGin @TheAtlasBar! Best way to start your #FridayNight #Manchester, see you there! #LoveGin https://t.co/A8Ace…",0,0,https://twitter.com/FordsGin/status/735292508163313664,0.13033333333333333,0.8696666666666667,0.0,0.22319999999999998
62,735292173868924928,FordsGin,Fords Gin,2016-5-25,02:11:29,Brand Tweet,"RT @DrinkCSX: .@FordsGin has quality, nostalgia &amp; a great bottle, says @warrenbobrow1: https://t.co/1CfM5HbwQb https://t.co/Lty6xmIGcy",0,0,https://twitter.com/FordsGin/status/735292173868924928,0.313,0.687,0.0,0.6249
63,735292154931613696,FordsGin,Fords Gin,2016-5-25,02:11:25,Brand Tweet,RT @ThePerfectSpot: House vin d’orange &amp; #garammasala in @FordsGin at @BonMarcheSF https://t.co/3aCRtFZOVw #cocktails #SF #bars https://t.c…,0,0,https://twitter.com/FordsGin/status/735292154931613696,0.0,1.0,0.0,0.0
64,735292119871410176,FordsGin,Fords Gin,2016-5-25,02:11:17,Brand Tweet,RT @TnZglr: Exploring the evolution of#Gin through @FordsGin at the @TheHospitalClub ! The oriGINal story! https://t.co/rfsXcbNpe1,0,0,https://twitter.com/FordsGin/status/735292119871410176,0.18799999999999997,0.8119999999999999,0.0,0.12673333333333334
65,725123558079369216,FordsGin,Fords Gin,2016-4-27,00:45:03,Brand Tweet,#jba Tonight's cocktail menu at the #jamesbeard media awards. #Martinitime #cocktails https://t.co/WLxistv5DM,3,8,https://twitter.com/FordsGin/status/725123558079369216,0.0,1.0,0.0,0.0
66,725123079123382272,FordsGin,Fords Gin,2016-4-27,00:43:08,Brand Tweet,RT @o_fozzy: @fordsgin Martinis @HawksmoorLondon #boom @ Hawksmoor Manchester https://t.co/KQeyM2Xybn,0,0,https://twitter.com/FordsGin/status/725123079123382272,0.0,1.0,0.0,0.0
67,723581698747695104,FordsGin,Fords Gin,2016-4-22,18:38:15,Brand Tweet,8 Surprising Facts You Never Knew About Gin @Liquor @cindyaugustine @SimonJFord #ginfacts #gin  https://t.co/gdJ1f9AJDq,1,3,https://twitter.com/FordsGin/status/723581698747695104,0.231,0.769,0.0,0.2732
68,720895594202435584,FordsGin,Fords Gin,2016-4-15,08:44:37,Brand Tweet,"RT @DrinkCSX: .@FordsGin is made for the bartender &amp; home enthusiast, says @warrenbobrow1: https://t.co/1CfM5Ht7HJ https://t.co/e4vlcs2lN6",0,0,https://twitter.com/FordsGin/status/720895594202435584,0.185,0.815,0.0,0.3612
