,id_str,screen_name,user_name,date,time,in_reply_to_status_id_str,text,retweet_count,favorite_count,url,senti_score_pos,senti_score_neu,senti_score_neg,senti_score_com
0,1255844374853935105,oldforester,Old Forester,2020-4-30,13:00:06,Brand Tweet,"Join us on May 2nd at 7 pm EST for the slowest 2 minutes in sports, the Old Forester Kentucky Turtle Derby! Click the link below to subscribe to the Old Forester YouTube page to be notified at post time. 

https://t.co/HCrgtaPBaF 

#OldForester #KentuckyTurtleDerby https://t.co/v4klXIcfyv",12,20,https://twitter.com/oldforester/status/1255844374853935105,0.058,0.942,0.0,0.17975
1,1253730566261932036,oldforester,Old Forester,2020-4-24,17:00:34,Brand Tweet,"Pour one for the weekend.

2 oz Old Forester 86 Proof
½ oz Demerara Syrup
2 Dashes Angostura® Bitters
Garnish with an orange peel

#oldfashionedfriday https://t.co/d3W9nocHg8",3,18,https://twitter.com/oldforester/status/1253730566261932036,0.0,0.826,0.174,-0.4588
2,1253005871199764482,oldforester,Old Forester,2020-4-22,17:00:54,Brand Tweet,"May we suggest a Old Fashioned outside?

2 oz Old Forester 100 Proof
½ oz Old Forester Perfect Old Fashioned Syrup
Garnish with a lemon and orange peel

#earthday https://t.co/4lLQuVp4nI",4,18,https://twitter.com/oldforester/status/1253005871199764482,0.0855,0.9145,0.0,0.28595
3,1251193853937422338,oldforester,Old Forester,2020-4-17,17:00:35,Brand Tweet,"Maple Syrup Old Fashioned

1/4 c Old Forester Rye
2-4 tsp maple syrup 
2 Dashes bitters

Combine ingredients in glass. Add ice. Stir. https://t.co/03W4mPsBEk",2,25,https://twitter.com/oldforester/status/1251193853937422338,0.0,0.928,0.072,-0.1027
4,1248294817685176323,oldforester,Old Forester,2020-4-09,17:00:51,Brand Tweet,"However you drink Old Forester, you’re right.

Get it delivered from @Drizly. $5 off your first order with code: OLDFORESTER.*

*Must be 21+. New customers only. Details apply go to Drizly. Expires 4/30/20.

https://t.co/b6xRrnbSSx https://t.co/SgC1nfq3ZA",0,9,https://twitter.com/oldforester/status/1248294817685176323,0.0,1.0,0.0,0.0
5,1247570040691490816,oldforester,Old Forester,2020-4-07,17:00:51,Brand Tweet,"Did you accidentally over buy milk? Try this milk punch.

1/4 c Old Forester (any expression)
1/4 c milk
2 T Sweetened condensed milk
1/2 tsp vanilla extract

Shake well with ice. Strain into glass. Garnish with grated nutmeg. https://t.co/uyn9blm9LC",4,12,https://twitter.com/oldforester/status/1247570040691490816,0.0375,0.7484999999999999,0.214,-0.14420000000000002
6,1247207570365956097,oldforester,Old Forester,2020-4-06,17:00:31,Brand Tweet,"Our parent organization, Brown-Forman, has partnered with RWCF to support their COVID-19 Crisis Relief Fund. We are encouraging people to make a donation and we will match dollar-for-dollar donations (Up to $100,000.00).*

Please visit https://t.co/4BzvMhSSRR to make a donation. https://t.co/j5gWV1m3ri",6,14,https://twitter.com/oldforester/status/1247207570365956097,0.247,0.665,0.088,0.7506
7,1246120423646998528,oldforester,Old Forester,2020-4-03,17:00:35,Brand Tweet,"Swipe to check out Ryan Clark's winning Old Fashioned, Oranges to Apples.

*INSPIRATION* 
“I wanted to stay within the classic Spirit, sugar, bitters and water recipe for a 'cocktail' without varying too far from a traditional 'old fashioned.'"" https://t.co/dQiZuTZ9EE",2,15,https://twitter.com/oldforester/status/1246120423646998528,0.129,0.835,0.035,0.5719
8,1243560984003981314,oldforester,Old Forester,2020-3-27,15:30:17,Brand Tweet,"100 Proof Old Fashioned

2 oz Old Forester 100 proof Signature
0.5 oz 2:1 demerara syrup
2 droppers Old Forester Bohemian Bitters
Orange and lemon peel garnish https://t.co/jMuFvp82aL",1,19,https://twitter.com/oldforester/status/1243560984003981314,0.0,0.945,0.055,-0.1027
9,1242488896841297920,oldforester,Old Forester,2020-3-24,16:30:11,Brand Tweet,"Did your store run out of egg white? Check out this Whisky Sour recipe from Jackie!

1/4 c Old Forester 86 proof
Juice of 1 lemon
1 T simple syrup
1 T aquafaba (liquid from canned chickpeas) 

Combine all ingredients, add ice, shake. Strain into glass. 

https://t.co/nCc6ReVqpB https://t.co/6J5dzlqvX2",3,14,https://twitter.com/oldforester/status/1242488896841297920,0.0,0.951,0.048999999999999995,-0.14049999999999999
