,id_str,screen_name,user_name,date,time,in_reply_to_status_id_str,text,retweet_count,favorite_count,url,senti_score_pos,senti_score_neu,senti_score_neg,senti_score_com
0,1255849296609652736,EricZerkel,Eric Zerkel,2020-4-30,13:19:39,1255844374853935105,@oldforester @MichaelRyanRuiz @LeBatardShow @Stugotz790 How much money do you have on the turtle derby?,0,0,https://twitter.com/EricZerkel/status/1255849296609652736,0.0,1.0,0.0,0.0
1,1253152465802989569,harishankarok,Hari Shankar*,2020-4-23,02:43:24,1253005871199764482,@oldforester Can this product be found in Nepal.,0,0,https://twitter.com/harishankarok/status/1253152465802989569,0.0,1.0,0.0,0.0
2,1253803347645214720,Manhattan2to1,Tim Wallwork,2020-4-24,21:49:47,1253005871199764482,@oldforester Hope you don’t mind a bit of mix’n’match... https://t.co/dbKrBc31ih,0,0,https://twitter.com/Manhattan2to1/status/1253803347645214720,0.293,0.707,0.0,0.4404
3,1251243096123244545,PerfectPourLA,The Perfect Pour,2020-4-17,20:16:15,1251193853937422338,@oldforester That's hard to beat! I love using your Smoked Cinnamon bitters in mine! Cheers!🥃,0,0,https://twitter.com/PerfectPourLA/status/1251243096123244545,0.34450000000000003,0.536,0.11975,0.243375
4,1247574625887727622,frebros,Real Jimmy,2020-4-07,17:19:04,1247570040691490816,@oldforester Perfect for isolation!!!! Time to stock up,0,1,https://twitter.com/frebros/status/1247574625887727622,0.3545,0.6455,0.0,0.35335
5,1247872405101568000,Mangrove_UK,Mangrove,2020-4-08,13:02:20,1247570040691490816,@oldforester HA! Love this!,0,0,https://twitter.com/Mangrove_UK/status/1247872405101568000,0.909,0.091,0.0,0.53495
6,1242521374918184962,bourbonksbar,bourbonstreetksbar,2020-3-24,18:39:15,1242141842382217220,@oldforester 素晴らしい！日本の蒸溜所も一刻も早く御社を見習ってほしいと思います。日本から応援しています,0,0,https://twitter.com/bourbonksbar/status/1242521374918184962,0.0,1.0,0.0,0.0
7,1241046207352524809,ttcheeser,ttcheeser,2020-3-20,16:57:28,1241030599571374085,@oldforester Perfect !,0,0,https://twitter.com/ttcheeser/status/1241046207352524809,1.0,0.0,0.0,0.6114
8,1241049494281695232,Manhattan2to1,Tim Wallwork,2020-3-20,17:10:31,1241030599571374085,@oldforester I'm in.,0,0,https://twitter.com/Manhattan2to1/status/1241049494281695232,0.0,1.0,0.0,0.0
9,1239939007938781186,whiskeychap,The Whisk(e)y Chap 🏴󠁧󠁢󠁥󠁮󠁧󠁿🥃,2020-3-17,15:37:51,1239937159823536132,@oldforester Great whiskey 👌🥃,0,1,https://twitter.com/whiskeychap/status/1239939007938781186,0.672,0.328,0.0,0.6249
10,1240030754043723777,clarke_khiry,khiry clarke,2020-3-17,21:42:25,1239939007938781186,"@whiskeychap @oldforester I’m all over the old forester line right now, don’t think I’ve seen a rye in store yet. Can’t wait to grab one 🤤",0,1,https://twitter.com/clarke_khiry/status/1240030754043723777,0.0,1.0,0.0,0.0
11,1239967466614218756,ttcheeser,ttcheeser,2020-3-17,17:30:56,1239937159823536132,@oldforester Because it's DeLiCiOuS !!,0,0,https://twitter.com/ttcheeser/status/1239967466614218756,0.333,0.167,0.0,0.3057
