,id_str,screen_name,user_name,date,time,in_reply_to_status_id_str,text,retweet_count,favorite_count,url,senti_score_pos,senti_score_neu,senti_score_neg,senti_score_com
0,1254963435500195843,jdjackjr,Jim Jackson,2020-4-28,02:39:33,1254742265672675333,"@brownforman Why, you’re just that good!
~Squire JD",0,0,https://twitter.com/jdjackjr/status/1254963435500195843,0.222,0.778,0.0,0.2463
1,1253454378041782278,debfromschoox,debfromschoox,2020-4-23,22:43:06,1253300267908501504,@brownforman @brownforman I love this! Thanks for sharing!,0,0,https://twitter.com/debfromschoox/status/1253454378041782278,0.8374999999999999,0.16249999999999998,0.0,0.69365
2,1253076348228288515,brownforman,Brown-Forman,2020-4-22,21:40:57,1253076346236002304,Brown-Forman made the first critical commitment to both DendriFund and @WOInitiative. #EarthDay,0,3,https://twitter.com/brownforman/status/1253076348228288515,0.202,0.62,0.178,0.0772
3,1252233146382209024,kellydlewis,Kelly Lewis,2020-4-20,13:50:22,1252207848160976901,@brownforman @jennymac72,0,1,https://twitter.com/kellydlewis/status/1252233146382209024,0.0,0.0,0.0,0.0
4,1251210741413294081,cflouisville,CF of Louisville,2020-4-17,18:07:41,1251206130631573504,@brownforman @USBGNCF @RWCFUSA Thank YOU for making a difference in our community during this crisis. 👏🏽✨ #TogetherKy #BetterTogether,0,1,https://twitter.com/cflouisville/status/1251210741413294081,0.2,0.8,0.0,0.3612
5,1250946029630959623,brownforman,Brown-Forman,2020-4-17,00:35:49,1250946022362185729,.@Glendronach: Multiple Best in Class Awards for The GlenDronach including GlenDronach 15 being named Best Whisky i… https://t.co/k03wjDg1gO,0,1,https://twitter.com/brownforman/status/1250946029630959623,0.449,0.551,0.0,0.9081
6,1250947890199093248,brownforman,Brown-Forman,2020-4-17,00:43:13,1250946029630959623,.@TheBenRiach: Gold and Double Gold Awards https://t.co/d4qThVJqJi,0,1,https://twitter.com/brownforman/status/1250947890199093248,0.375,0.625,0.0,0.4588
7,1250947897941729285,brownforman,Brown-Forman,2020-4-17,00:43:15,1250947890199093248,.@Glenglassaugh: Full core range wins top accolades as the distillery begins to come of age. https://t.co/HPa93zODpw,0,1,https://twitter.com/brownforman/status/1250947897941729285,0.314,0.686,0.0,0.6705
8,1250947906183495680,brownforman,Brown-Forman,2020-4-17,00:43:16,1250947897941729285,.@slanewhiskey: Gold (Blended Irish Whiskey Category) for Blended Triple Cask Irish Whiskey https://t.co/mCslftl2S3,0,3,https://twitter.com/brownforman/status/1250947906183495680,0.0,1.0,0.0,0.0
9,1250947912546357248,brownforman,Brown-Forman,2020-4-17,00:43:18,1250947906183495680,.@WoodfordReserve: Gold (Rye Whiskey Category) for Woodford Reserve Rye https://t.co/CimX1BXoyY,1,4,https://twitter.com/brownforman/status/1250947912546357248,0.0,1.0,0.0,0.0
10,1250947918154080257,brownforman,Brown-Forman,2020-4-17,00:43:19,1250947912546357248,.@ETWhisky Two Double-Golds for Early Times Kentucky Whisky (Other Whisky Category) Early Times Bottled-In-Bond (St… https://t.co/qme09GWlvc,0,4,https://twitter.com/brownforman/status/1250947918154080257,0.0,1.0,0.0,0.0
11,1250947923279577090,brownforman,Brown-Forman,2020-4-17,00:43:21,1250947918154080257,".@ElJimador Three Silvers for Añejo Tequila (Añejo Tequila Category), Reposado Tequila (Reposado Tequila Category),… https://t.co/SHUMtUz0JC",0,5,https://twitter.com/brownforman/status/1250947923279577090,0.0,1.0,0.0,0.0
12,1249869679461568512,TheMortonCenter,The Morton Center,2020-4-14,01:18:47,1249797040172826626,@brownforman Thank you for having us be a part  of the conversation.,0,1,https://twitter.com/TheMortonCenter/status/1249869679461568512,0.238,0.762,0.0,0.3612
13,1249777934765830146,clarke_khiry,khiry clarke,2020-4-13,19:14:14,1249750770037202945,@brownforman @coopers_craft @EaterPhilly Love you guys and what you’re doing! https://t.co/PYzyu8gPAP,0,1,https://twitter.com/clarke_khiry/status/1249777934765830146,0.214,0.786,0.0,0.3348
14,1248279356306325506,brownforman,Brown-Forman,2020-4-09,15:59:25,1248279354330710016,"As we continue to work from home, let’s keep this momentum going by having these types of conversations with our ki… https://t.co/IGPE6PzxvI",1,6,https://twitter.com/brownforman/status/1248279356306325506,0.0,1.0,0.0,0.0
