,id_str,screen_name,user_name,date,time,in_reply_to_status_id_str,text,retweet_count,favorite_count,url,senti_score_pos,senti_score_neu,senti_score_neg,senti_score_com
0,1245031494499917825,Scotts_MGro,Scotts Miracle-Gro,2020-3-31,16:53:34,Brand Tweet,We're proud to share the stories of our female employees and their advice for other women in the workforce this #WomensHistoryMonth. https://t.co/5u5AXQwVpB,0,4,https://twitter.com/Scotts_MGro/status/1245031494499917825,0.218,0.782,0.0,0.6486
1,1241842243419492357,Scotts_MGro,Scotts Miracle-Gro,2020-3-22,21:40:37,Brand Tweet,"On this #WorldWaterDay, we thank our environmental partners for protecting America’s access to safe, clean water supplies that are vital to health. https://t.co/dA5B2PwrZu
Learn more about their commitment to water quality during these extraordinary times.",2,7,https://twitter.com/Scotts_MGro/status/1241842243419492357,0.328,0.672,0.0,0.9035
2,1240749528535400450,Scotts_MGro,Scotts Miracle-Gro,2020-3-19,21:18:34,Brand Tweet,Spring is officially here and the best moments of the season may be right outside your door. #GroMoreGood #SpringOutside https://t.co/fK3RD3fhnx,3,6,https://twitter.com/Scotts_MGro/status/1240749528535400450,0.208,0.792,0.0,0.6369
3,1239614414665461760,Scotts_MGro,Scotts Miracle-Gro,2020-3-16,18:08:02,Brand Tweet,"Healthy food makes healthier kids. We work with @nokidhungry to ensure kids are #PoweredByBreakfast. The hydro garden at SOAR Academy in Macon, GA helps supply the school cafeteria. https://t.co/fnAkVcpDZ3

@BibbSchools #GroMoreGood 
#schoolgardens #hydroforhunger #nokidhungry https://t.co/Dlam73FhJ9",0,5,https://twitter.com/Scotts_MGro/status/1239614414665461760,0.256,0.744,0.0,0.7845
4,1237759690865508352,Scotts_MGro,Scotts Miracle-Gro,2020-3-11,15:18:01,Brand Tweet,"Scotts Canada is working with @Food_Bank to help provide nutritious food to local children and their families. https://t.co/Ag3P0eb6XJ
Learn how matching financial donations are serving a local community. https://t.co/Tw5B7DD8Hb",1,3,https://twitter.com/Scotts_MGro/status/1237759690865508352,0.101,0.899,0.0,0.4019
5,1237081474064691201,Scotts_MGro,Scotts Miracle-Gro,2020-3-09,18:23:01,Brand Tweet,"Millions of kids face the day hungry and struggle to reach their potential. We joined @nokidhungry to get fresh food and hydro gardens to schools like Georgetown K–8. https://t.co/fnAkVcpDZ3 

@SCCPSS
#PoweredbyBreakfast
#GroMoreGood
#schoolgardens #hydroforhunger #nokidhungry https://t.co/ZpKopjaXEO",1,5,https://twitter.com/Scotts_MGro/status/1237081474064691201,0.183,0.745,0.071,0.3818
6,1235630154149515264,Scotts_MGro,Scotts Miracle-Gro,2020-3-05,18:16:00,Brand Tweet,"""It’s critical an organization’s purpose be deeply embedded in who they are and what they do, that it’s a part of your business model and your values,"" John Sass, VP of advertising at SMG.
Learn why social purpose is crucial to our business. https://t.co/maovDCbXI3
#csr #esg",0,3,https://twitter.com/Scotts_MGro/status/1235630154149515264,0.0,0.946,0.054,-0.3182
7,1235280097848020993,Scotts_MGro,Scotts Miracle-Gro,2020-3-04,19:05:00,Brand Tweet,"A big shout out to our associates in Mississauga, Ontario serving their community.
#GiveBacktoGro #canada https://t.co/hfWXVbib3b",2,4,https://twitter.com/Scotts_MGro/status/1235280097848020993,0.0,1.0,0.0,0.0
8,1235225971210555392,Scotts_MGro,Scotts Miracle-Gro,2020-3-04,15:29:55,Brand Tweet,Cool to see @FarmtoSchool and @hawthornegc develop a one-of-a-kind hydroponic curriculum aligning with Next Generation Science Standards. Learn how hydroponic systems and curriculum will be implemented in schools. https://t.co/GqHhW94gRH #GroMoreGood #hydroponics #stem #science,1,3,https://twitter.com/Scotts_MGro/status/1235225971210555392,0.091,0.909,0.0,0.3182
9,1232006285467561984,Scotts_MGro,Scotts Miracle-Gro,2020-2-24,18:16:02,Brand Tweet,"Our young professionals enjoy giving back to their communities and helping create future leaders through The Legacy Project. Recently, students had a career exploration day in our greenhouse.
#grogrit @FisherOSU @globalfpllc @MayersonAcademy @TheMetroSchool1 @WhitehallRAMS https://t.co/IqjlYGZwYF",2,7,https://twitter.com/Scotts_MGro/status/1232006285467561984,0.36,0.64,0.0,0.8689
10,1230923146166964224,Scotts_MGro,Scotts Miracle-Gro,2020-2-21,18:32:02,Brand Tweet,"The Legacy Project students joined a career exploration day at ScottsMiracle-Gro. From plant research and handling insects to ad campaign creation, students faced new challenges and experiences. #grogrit @FisherOSU @globalfpllc @MayersonAcademy  @TheMetroSchool1 @WhitehallRAMS https://t.co/eSfE4NJrno",2,5,https://twitter.com/Scotts_MGro/status/1230923146166964224,0.187,0.813,0.0,0.5106
11,1230870108064624646,Scotts_MGro,Scotts Miracle-Gro,2020-2-21,15:01:16,Brand Tweet,"A big shout out to some of our associates from Finance who volunteered at @RMHCofCentralOH Thanks for serving the community!
#community #giveback #givebacktogro https://t.co/C3hwYe2G6q",0,12,https://twitter.com/Scotts_MGro/status/1230870108064624646,0.079,0.921,0.0,0.2463
12,1229758967464722433,Scotts_MGro,Scotts Miracle-Gro,2020-2-18,13:26:00,Brand Tweet,"Join us TODAY, February 18 @ 1 pm ET for a GreenBiz webcast and learn how we're utilizing #csr #esg programming to improve employee engagement, society and business. See how to move beyond check-writing philanthropy to finding true social purpose.
https://t.co/bgUMF5M6HL",0,0,https://twitter.com/Scotts_MGro/status/1229758967464722433,0.267,0.733,0.0,0.872
13,1228415123213209601,Scotts_MGro,Scotts Miracle-Gro,2020-2-14,20:26:02,Brand Tweet,"February is a month to focus on heart health so ️we’re wearing red!❤️ 
We continue to support the American Heart Association, raising over $1.7 million in local research and education.
#GiveBackToGro #GoRedCbus #WalkCbus @columbusheart @American_Heart  #channahon #marysville https://t.co/UBgatHdgaI",1,6,https://twitter.com/Scotts_MGro/status/1228415123213209601,0.072,0.9279999999999999,0.0,0.20095
14,1228313446833434624,Scotts_MGro,Scotts Miracle-Gro,2020-2-14,13:42:01,Brand Tweet,"TODAY is the deadline for a Grassroots Grant with @Kids_Gardening Make sure you’ve submitted the application to fund a youth garden project in your neighborhood. https://t.co/ycvBrZiArN
#GroMoreGood is connecting 10 million kids to the benefits of gardens and greenspaces. 🌼🌱 https://t.co/ZKWijjX6QP",0,0,https://twitter.com/Scotts_MGro/status/1228313446833434624,0.188,0.812,0.0,0.7506
15,1227990314360635392,Scotts_MGro,Scotts Miracle-Gro,2020-2-13,16:18:00,Brand Tweet,"How does a company move beyond check-writing philanthropy to finding true social purpose?
Join us February 18 @ 1 pm ET for our GreenBiz webcast. Learn how we're utilizing #csr programming to improve employee engagement, society and business. https://t.co/bgUMF5M6HL
#esg",0,0,https://twitter.com/Scotts_MGro/status/1227990314360635392,0.2565,0.7435,0.0,0.60895
16,1227658378895339521,Scotts_MGro,Scotts Miracle-Gro,2020-2-12,18:19:00,Brand Tweet,"Let’s get more kids outside this spring, enjoying the benefits of gardens and the outdoors. If there's a school or community group in your neighborhood, encourage them to apply for our Grassroots Grant with @Kids_Gardening
Deadline is FRIDAY! https://t.co/IHmZi4eY24 https://t.co/Lbp1vH8PXY",3,5,https://twitter.com/Scotts_MGro/status/1227658378895339521,0.1405,0.8594999999999999,0.0,0.451
17,1227274345564835840,Scotts_MGro,Scotts Miracle-Gro,2020-2-11,16:53:00,Brand Tweet,"How does a company move beyond check-writing philanthropy to finding true social purpose? Join us February 18 @ 1 pm ET for our GreenBiz webcast. https://t.co/bgUMF5M6HL
Learn how we're utilizing #csr programming to improve employee engagement, society and business. #esg",1,0,https://twitter.com/Scotts_MGro/status/1227274345564835840,0.2565,0.7435,0.0,0.60895
18,1222575638395150339,Scotts_MGro,Scotts Miracle-Gro,2020-1-29,17:42:01,Brand Tweet,"Strong first-quarter results driven by a 23% increase in sales. “Hawthorne continues to distance itself from its largest competitors. Momentum in our U.S. Consumer segment last year also carried into fiscal 2020,” said Jim Hagedorn, chairman and CEO.
https://t.co/rY7FOilEyc https://t.co/cTDVpCyd2q",3,6,https://twitter.com/Scotts_MGro/status/1222575638395150339,0.145,0.855,0.0,0.6808
19,1220391754819612672,Scotts_MGro,Scotts Miracle-Gro,2020-1-23,17:04:02,Brand Tweet,"Bee proactive and apply for a Grassroots Grant today! https://t.co/D8HKg5ufZY @Trevecca Urban Farm uses a #GroMoreGood grant so local students gain practical farming skills. Their Bee Camp helps students understand the vital role of pollinators in agriculture.
@Kids_Gardening https://t.co/9Px7womeb5",5,6,https://twitter.com/Scotts_MGro/status/1220391754819612672,0.418,0.5820000000000001,0.0,0.77695
