,id_str,screen_name,user_name,date,time,in_reply_to_status_id_str,text,retweet_count,favorite_count,url,senti_score_pos,senti_score_neu,senti_score_neg,senti_score_com
0,1251524578217725953,Scotts_MGro,Scotts Miracle-Gro,2020-4-18,14:54:46,1250842308112760832,@motorcitypete We are sorry you were disappointed in the results you received. We would like to help and fill you in on our product guarantee. You can reach out to us through this link: https://t.co/c5LOS3CFyG,0,0,https://twitter.com/Scotts_MGro/status/1251524578217725953,0.167,0.716,0.117,0.2263
1,1250413858222727168,Scotts_MGro,Scotts Miracle-Gro,2020-4-15,13:21:10,1250141070412963842,"@BloggsJon Jon, you have reached the US site.  Please contact the UK at https://t.co/OWv72VdCuy",0,0,https://twitter.com/Scotts_MGro/status/1250413858222727168,0.27,0.73,0.0,0.4019
2,1250407021565878275,Scotts_MGro,Scotts Miracle-Gro,2020-4-15,12:54:00,1250033219149258753,@whittierpd We're honored to help support our first responders.,0,1,https://twitter.com/Scotts_MGro/status/1250407021565878275,0.697,0.303,0.0,0.8481
3,1248292786895572993,Scotts_MGro,Scotts Miracle-Gro,2020-4-09,16:52:47,1248062162892926976,"@BullMoo39404241 We apologize for the delay. In light of current world events, responses and shipments may be delayed; however, we are working to respond to concerns and get orders out as quickly as we can. We are sorry for any inconvenience this has caused.",0,0,https://twitter.com/Scotts_MGro/status/1248292786895572993,0.032,0.835,0.132,-0.5106
4,1245031494499917825,Scotts_MGro,Scotts Miracle-Gro,2020-3-31,16:53:34,Brand Tweet,We're proud to share the stories of our female employees and their advice for other women in the workforce this #WomensHistoryMonth. https://t.co/5u5AXQwVpB,0,4,https://twitter.com/Scotts_MGro/status/1245031494499917825,0.218,0.782,0.0,0.6486
5,1241842243419492357,Scotts_MGro,Scotts Miracle-Gro,2020-3-22,21:40:37,Brand Tweet,"On this #WorldWaterDay, we thank our environmental partners for protecting America’s access to safe, clean water supplies that are vital to health. https://t.co/dA5B2PwrZu
Learn more about their commitment to water quality during these extraordinary times.",2,7,https://twitter.com/Scotts_MGro/status/1241842243419492357,0.328,0.672,0.0,0.9035
6,1240749528535400450,Scotts_MGro,Scotts Miracle-Gro,2020-3-19,21:18:34,Brand Tweet,Spring is officially here and the best moments of the season may be right outside your door. #GroMoreGood #SpringOutside https://t.co/fK3RD3fhnx,3,6,https://twitter.com/Scotts_MGro/status/1240749528535400450,0.208,0.792,0.0,0.6369
7,1240256189126107138,Scotts_MGro,Scotts Miracle-Gro,2020-3-18,12:38:12,1240038128968060928,"@jwindh Thank you for sharing. We apologize that you did not receive the level of service and products that we expect to provide.  There are ways that we can help. Please direct message your email address or phone number, and we will reach out to you.",0,0,https://twitter.com/Scotts_MGro/status/1240256189126107138,0.193,0.807,0.0,0.6808
8,1239614414665461760,Scotts_MGro,Scotts Miracle-Gro,2020-3-16,18:08:02,Brand Tweet,"Healthy food makes healthier kids. We work with @nokidhungry to ensure kids are #PoweredByBreakfast. The hydro garden at SOAR Academy in Macon, GA helps supply the school cafeteria. https://t.co/fnAkVcpDZ3

@BibbSchools #GroMoreGood 
#schoolgardens #hydroforhunger #nokidhungry https://t.co/Dlam73FhJ9",0,5,https://twitter.com/Scotts_MGro/status/1239614414665461760,0.256,0.744,0.0,0.7845
9,1237759690865508352,Scotts_MGro,Scotts Miracle-Gro,2020-3-11,15:18:01,Brand Tweet,"Scotts Canada is working with @Food_Bank to help provide nutritious food to local children and their families. https://t.co/Ag3P0eb6XJ
Learn how matching financial donations are serving a local community. https://t.co/Tw5B7DD8Hb",1,3,https://twitter.com/Scotts_MGro/status/1237759690865508352,0.101,0.899,0.0,0.4019
